Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:48:33:41.784,61,0.0000000000,0.2184447944,0.1767907292,0.0000000000,0.0000000000,0.1245338470,0.3335634172,0.0000000000,0.2196252942,0.0000000000,0.0435505174,0.0000000000,0.1245287731,0.3339352012,0.0325850025,0.0110380091,0.0000000000,0.0644268990,0.0669359341,0.0566886924,0.2746906281,0.0000000000,0.0068624676,0.0684287474,0.0785690174,0.0000000000,0.0000000000,0.0806245208,0.0873945579,0.1656654924,0.1769584119,0.2007756233,0.0453715175,0.2937247753,0.1723823249,0.0765361935,0.0782881603,0.1819788814,0.1834459007,0.0172702391,0.0200596210,0.7468450069,0.7467356920,0.2121837884,0.0000000000,0.0000000000,0.0875708312,0.0824494883,0.0924727693,0.1241849959,0.1289795935,0.0000008909,0.1091968864,0.1557829082,-0.0602165684,0.0263643842,0.1342083961,0.0035592921,0.1070315391,0.1342129707,0.0144233219
12:48:33:42.784,61,0.0000000000,0.2224346250,0.1685570478,0.0000000000,0.0000000000,0.1081142649,0.2624899745,0.0000000000,0.2235447764,0.0000000000,0.0353281870,0.0000000000,0.1081077605,0.2627377212,0.0318097621,0.0106299510,0.0000000000,0.0644393116,0.0670567825,0.0551895462,0.2764640152,0.0000000000,0.0070041209,0.0715103522,0.0814893395,0.0000000000,0.0000000000,0.0806291401,0.0877033100,0.1576668918,0.1700741202,0.1975764036,0.0451246016,0.2897923589,0.1691068262,0.0735146850,0.0746081546,0.1854536533,0.1871605664,0.0175465681,0.0203073062,0.7435848117,0.7434932590,0.2177753001,0.0000000000,0.0000000000,0.0857984200,0.0790390074,0.0871278271,0.1244604737,0.1291692257,0.0000005219,0.1101193279,0.1627086699,-0.0613118745,0.0213798303,0.1365871578,0.0029382745,0.1020132825,0.1365921348,0.0139963003
12:48:33:43.785,61,0.0000000000,0.2298754901,0.1679852754,0.0000000000,0.0000000000,0.0993714705,0.2211720794,0.0000000000,0.2310142964,0.0000000000,0.0347553305,0.0000000000,0.0993644819,0.2213499099,0.0310771167,0.0102480436,0.0000000000,0.0643832162,0.0670832768,0.0531149283,0.2770537436,0.0000000000,0.0070172553,0.0758546069,0.0846562535,0.0000000000,0.0000000000,0.0806399137,0.0879485086,0.1539550275,0.1666243225,0.1959900707,0.0448535122,0.2878138125,0.1673763692,0.0717727765,0.0725360736,0.1868104339,0.1884701550,0.0177973974,0.0205118209,0.7351456881,0.7350630164,0.2203904241,0.0000000000,0.0000000000,0.0846391320,0.0766505226,0.0836641714,0.1247882470,0.1293677837,0.0000002758,0.1101193279,0.1627086699,-0.0613118745,0.0210197438,0.1411500275,0.0029865706,0.1016028002,0.1411557496,0.0144120120
12:48:33:44.785,61,0.0000000000,0.2391854674,0.1739802063,0.0000000000,0.0000000000,0.0945255533,0.2027422786,0.0000000000,0.2404399812,0.0000000000,0.0404502861,0.0000000000,0.0945184976,0.2028967291,0.0303783808,0.0098793134,0.0000000000,0.0641444251,0.0669314265,0.0510871597,0.2713216543,0.0000000000,0.0069407253,0.0787672400,0.0867925361,0.0000000000,0.0000000000,0.0806203485,0.0881209448,0.1520340890,0.1648625433,0.1950316727,0.0444429703,0.2869933844,0.1665251702,0.0706680939,0.0712699145,0.1865551472,0.1880427301,0.0180620905,0.0207321979,0.7306152582,0.7305308580,0.2221881002,0.0000000000,0.0000000000,0.0836510882,0.0749895200,0.0815141052,0.1251193881,0.1296105981,0.0000001932,0.1094128862,0.1657938510,-0.0616771095,0.0244435742,0.1469206363,0.0036169549,0.1051418409,0.1469273120,0.0155304382
12:48:33:45.787,61,0.0000000000,0.2391059250,0.1743014306,0.0000000000,0.0000000000,0.0916449428,0.1845356375,0.0000000000,0.2403625548,0.0000000000,0.0411183909,0.0000000000,0.0916381329,0.1847333908,0.0297266319,0.0095176212,0.0000000000,0.0639744997,0.0668081343,0.0499427840,0.2690845728,0.0000000000,0.0067346352,0.0805926025,0.0879885033,0.0000000000,0.0000000000,0.0806119293,0.0882473290,0.1509929597,0.1638724804,0.1945912838,0.0440239310,0.2870143354,0.1662465185,0.0700986311,0.0706002638,0.1842848808,0.1855709106,0.0183397327,0.0209554583,0.7086474895,0.7085258961,0.2241112590,0.0000000000,0.0000000000,0.0829955861,0.0738456398,0.0801141188,0.1256093979,0.1299635619,0.0000005407,0.1089507341,0.1693380475,-0.0616828464,0.0248474758,0.1468748152,0.0036755439,0.1053366959,0.1468814760,0.0155541888
12:48:33:46.788,61,0.0000000000,0.2373808324,0.1784926653,0.0000000000,0.0000000000,0.0900281891,0.1729605198,0.0000000000,0.2386779189,0.0000000000,0.0453719199,0.0000000000,0.0900217146,0.1731985807,0.0291783307,0.0091361171,0.0000000000,0.0637777671,0.0666261986,0.0490418188,0.2646870613,0.0000000000,0.0064263963,0.0818234831,0.0887328088,0.0000000000,0.0000000000,0.0806692541,0.0883962885,0.1503352076,0.1631689370,0.1947304010,0.0436768159,0.2878948748,0.1662987471,0.0698709935,0.0703014508,0.1817262471,0.1827720851,0.0186154321,0.0211751778,0.7019743323,0.7018421888,0.2253459543,0.0000000000,0.0000000000,0.0825276822,0.0730863884,0.0792358145,0.1261317134,0.1303511858,0.0000005915,0.1086471006,0.1716957241,-0.0619448945,0.0274219885,0.1458552778,0.0040277210,0.1078861430,0.1458617896,0.0158169772
12:48:33:47.788,61,0.0000000000,0.2409925163,0.1776266992,0.0000000000,0.0000000000,0.0890125036,0.1671189219,0.0000000000,0.2422980070,0.0000000000,0.0444964990,0.0000000000,0.0890063718,0.1673682183,0.0286347959,0.0087343762,0.0000000000,0.0634106621,0.0662553608,0.0482062586,0.2596969306,0.0000000000,0.0061099716,0.0828539729,0.0892663971,0.0000000000,0.0000000000,0.0807105899,0.0885064676,0.1497198790,0.1625126153,0.1946966201,0.0432705842,0.2905117571,0.1667967290,0.0698586702,0.0702250749,0.1765300632,0.1773906052,0.0189097989,0.0214108601,0.6984623075,0.6983257532,0.2260704637,0.0000000000,0.0000000000,0.0820328370,0.0725117698,0.0786195546,0.1267596930,0.1308218986,0.0000006710,0.1102451310,0.1727499813,-0.0622549653,0.0268841051,0.1480653733,0.0040094461,0.1073277742,0.1480721831,0.0159773584
12:48:33:48.788,61,0.0000000000,0.2419873625,0.1786631197,0.0000000000,0.0000000000,0.0881720856,0.1639722586,0.0000000000,0.2433094680,0.0000000000,0.0457742997,0.0000000000,0.0881662592,0.1642270088,0.0280654728,0.0083203195,0.0000000000,0.0628381819,0.0656142905,0.0471827760,0.2569256425,0.0000000000,0.0057832901,0.0836577639,0.0895082951,0.0000000000,0.0000000000,0.0807282999,0.0885620788,0.1490598917,0.1618402451,0.1944385022,0.0427731574,0.2993256152,0.1722302288,0.0701233670,0.0704207271,0.1670282632,0.1673656553,0.0192182083,0.0216549132,0.6963176131,0.6961794496,0.2260284722,0.0000000000,0.0000000000,0.0815894231,0.0719822422,0.0780540556,0.1273414642,0.1312303692,0.0000006721,0.1114215776,0.1747376472,-0.0618402474,0.0276535694,0.1486865729,0.0041417335,0.1079441682,0.1486935019,0.0161371604
12:48:33:49.789,61,0.0000000000,0.2435532808,0.1785700917,0.0000000000,0.0000000000,0.0873678848,0.1610031873,0.0000000000,0.2448823601,0.0000000000,0.0456752591,0.0000000000,0.0873623341,0.1612513363,0.0274583977,0.0079097711,0.0000000000,0.0619640760,0.0644784421,0.0461698659,0.2553346455,0.0000000000,0.0054823905,0.0843608752,0.0895975307,0.0000000000,0.0000000000,0.0806603134,0.0885206312,0.1477701962,0.1607229710,0.1937385499,0.0421926379,0.3051308393,0.1772831976,0.0705561116,0.0707806945,0.1616116762,0.1615190804,0.0195472054,0.0219184048,0.6951593757,0.6950209737,0.2256206721,0.0000000000,0.0000000000,0.0811089501,0.0714460313,0.0774825141,0.1279649585,0.1316786259,0.0000003661,0.1128438041,0.1769731045,-0.0613270365,0.0275897495,0.1496475041,0.0041592852,0.1078724936,0.1496546268,0.0162322763
12:48:33:50.789,61,0.0000000000,0.2453325242,0.1782858223,0.0000000000,0.0000000000,0.0865201503,0.1533066779,0.0000000000,0.2466675788,0.0000000000,0.0453420430,0.0000000000,0.0865152031,0.1535483003,0.0268619433,0.0075136940,0.0000000000,0.0613217913,0.0637645796,0.0454214141,0.2543842196,0.0000000000,0.0052567911,0.0851721466,0.0897948071,0.0000000000,0.0000000000,0.0805659965,0.0884532407,0.1469239593,0.1599859148,0.1928959787,0.0416369177,0.3073855639,0.1791613400,0.0708542764,0.0709970966,0.1591620296,0.1589367241,0.0198547542,0.0221646931,0.6914475560,0.6913117766,0.2256819159,0.0000000000,0.0000000000,0.0806272328,0.0709613264,0.0769686103,0.1286184341,0.1321351528,0.0000003442,0.1141224951,0.1799421310,-0.0607134029,0.0273839589,0.1507375985,0.0041587991,0.1076831222,0.1507449001,0.0163237229
